variant,block,order,mode,threads,position,multipv,ns,nodes,depth,score,bestmove,callbacks,emitted_moves
baseline,0,0,nodes,1,0,1,105374952,100046,13,0,5i5h,14,75
baseline,0,0,nodes,1,0,4,105296955,100034,10,7,5i5h,41,183
baseline,0,0,nodes,1,1,1,113360278,100009,12,0,2e2d,13,86
baseline,0,0,nodes,1,1,4,114367912,100044,10,0,2e2d,41,210
baseline,0,0,nodes,1,2,1,123644866,100034,14,790,8h2b+,15,125
baseline,0,0,nodes,1,2,4,120245237,100000,9,534,8h2b+,37,192
fixed,0,1,nodes,1,0,1,104757402,100046,13,0,5i5h,14,74
fixed,0,1,nodes,1,0,4,103598895,100034,10,7,5i5h,41,182
fixed,0,1,nodes,1,1,1,113785527,100009,12,0,2e2d,13,86
fixed,0,1,nodes,1,1,4,114521040,100044,10,0,2e2d,41,203
fixed,0,1,nodes,1,2,1,123687757,100034,14,790,8h2b+,15,124
fixed,0,1,nodes,1,2,4,120510687,100000,9,534,8h2b+,37,190
fixed,0,2,nodes,1,0,1,104212238,100046,13,0,5i5h,14,74
fixed,0,2,nodes,1,0,4,105140122,100034,10,7,5i5h,41,182
fixed,0,2,nodes,1,1,1,113235274,100009,12,0,2e2d,13,86
fixed,0,2,nodes,1,1,4,124420774,100044,10,0,2e2d,41,203
fixed,0,2,nodes,1,2,1,129982306,100034,14,790,8h2b+,15,124
fixed,0,2,nodes,1,2,4,119775636,100000,9,534,8h2b+,37,190
baseline,0,3,nodes,1,0,1,104352823,100046,13,0,5i5h,14,75
baseline,0,3,nodes,1,0,4,104235703,100034,10,7,5i5h,41,183
baseline,0,3,nodes,1,1,1,114045639,100009,12,0,2e2d,13,86
baseline,0,3,nodes,1,1,4,112898663,100044,10,0,2e2d,41,210
baseline,0,3,nodes,1,2,1,123847559,100034,14,790,8h2b+,15,125
baseline,0,3,nodes,1,2,4,119588995,100000,9,534,8h2b+,37,192
baseline,1,0,nodes,1,0,1,104476706,100046,13,0,5i5h,14,75
baseline,1,0,nodes,1,0,4,104207290,100034,10,7,5i5h,41,183
baseline,1,0,nodes,1,1,1,114119458,100009,12,0,2e2d,13,86
baseline,1,0,nodes,1,1,4,114310577,100044,10,0,2e2d,41,210
baseline,1,0,nodes,1,2,1,124399126,100034,14,790,8h2b+,15,125
baseline,1,0,nodes,1,2,4,120418555,100000,9,534,8h2b+,37,192
fixed,1,1,nodes,1,0,1,104946960,100046,13,0,5i5h,14,74
fixed,1,1,nodes,1,0,4,103520820,100034,10,7,5i5h,41,182
fixed,1,1,nodes,1,1,1,114032064,100009,12,0,2e2d,13,86
fixed,1,1,nodes,1,1,4,113966520,100044,10,0,2e2d,41,203
fixed,1,1,nodes,1,2,1,123713989,100034,14,790,8h2b+,15,124
fixed,1,1,nodes,1,2,4,120583255,100000,9,534,8h2b+,37,190
fixed,1,2,nodes,1,0,1,104080523,100046,13,0,5i5h,14,74
fixed,1,2,nodes,1,0,4,104809142,100034,10,7,5i5h,41,182
fixed,1,2,nodes,1,1,1,114225879,100009,12,0,2e2d,13,86
fixed,1,2,nodes,1,1,4,113973013,100044,10,0,2e2d,41,203
fixed,1,2,nodes,1,2,1,124336249,100034,14,790,8h2b+,15,124
fixed,1,2,nodes,1,2,4,127104210,100000,9,534,8h2b+,37,190
baseline,1,3,nodes,1,0,1,104019619,100046,13,0,5i5h,14,75
baseline,1,3,nodes,1,0,4,106658329,100034,10,7,5i5h,41,183
baseline,1,3,nodes,1,1,1,116665044,100009,12,0,2e2d,13,86
baseline,1,3,nodes,1,1,4,114018580,100044,10,0,2e2d,41,210
baseline,1,3,nodes,1,2,1,124349195,100034,14,790,8h2b+,15,125
baseline,1,3,nodes,1,2,4,120147448,100000,9,534,8h2b+,37,192
baseline,2,0,nodes,1,0,1,104160454,100046,13,0,5i5h,14,75
baseline,2,0,nodes,1,0,4,103670724,100034,10,7,5i5h,41,183
baseline,2,0,nodes,1,1,1,113663874,100009,12,0,2e2d,13,86
baseline,2,0,nodes,1,1,4,113107189,100044,10,0,2e2d,41,210
baseline,2,0,nodes,1,2,1,124364384,100034,14,790,8h2b+,15,125
baseline,2,0,nodes,1,2,4,118699989,100000,9,534,8h2b+,37,192
fixed,2,1,nodes,1,0,1,103296342,100046,13,0,5i5h,14,74
fixed,2,1,nodes,1,0,4,103246588,100034,10,7,5i5h,41,182
fixed,2,1,nodes,1,1,1,113769674,100009,12,0,2e2d,13,86
fixed,2,1,nodes,1,1,4,113523902,100044,10,0,2e2d,41,203
fixed,2,1,nodes,1,2,1,123151505,100034,14,790,8h2b+,15,124
fixed,2,1,nodes,1,2,4,119710158,100000,9,534,8h2b+,37,190
fixed,2,2,nodes,1,0,1,104490206,100046,13,0,5i5h,14,74
fixed,2,2,nodes,1,0,4,103892272,100034,10,7,5i5h,41,182
fixed,2,2,nodes,1,1,1,114523651,100009,12,0,2e2d,13,86
fixed,2,2,nodes,1,1,4,113655770,100044,10,0,2e2d,41,203
fixed,2,2,nodes,1,2,1,123194937,100034,14,790,8h2b+,15,124
fixed,2,2,nodes,1,2,4,119810026,100000,9,534,8h2b+,37,190
baseline,2,3,nodes,1,0,1,104648162,100046,13,0,5i5h,14,75
baseline,2,3,nodes,1,0,4,109610148,100034,10,7,5i5h,41,183
baseline,2,3,nodes,1,1,1,115179715,100009,12,0,2e2d,13,86
baseline,2,3,nodes,1,1,4,114281297,100044,10,0,2e2d,41,210
baseline,2,3,nodes,1,2,1,127361388,100034,14,790,8h2b+,15,125
baseline,2,3,nodes,1,2,4,121178117,100000,9,534,8h2b+,37,192
baseline,3,0,nodes,1,0,1,104818593,100046,13,0,5i5h,14,75
baseline,3,0,nodes,1,0,4,104131743,100034,10,7,5i5h,41,183
baseline,3,0,nodes,1,1,1,113451778,100009,12,0,2e2d,13,86
baseline,3,0,nodes,1,1,4,114340830,100044,10,0,2e2d,41,210
baseline,3,0,nodes,1,2,1,124865128,100034,14,790,8h2b+,15,125
baseline,3,0,nodes,1,2,4,120648203,100000,9,534,8h2b+,37,192
fixed,3,1,nodes,1,0,1,104490498,100046,13,0,5i5h,14,74
fixed,3,1,nodes,1,0,4,103832641,100034,10,7,5i5h,41,182
fixed,3,1,nodes,1,1,1,113833767,100009,12,0,2e2d,13,86
fixed,3,1,nodes,1,1,4,113736865,100044,10,0,2e2d,41,203
fixed,3,1,nodes,1,2,1,123549004,100034,14,790,8h2b+,15,124
fixed,3,1,nodes,1,2,4,120510224,100000,9,534,8h2b+,37,190
fixed,3,2,nodes,1,0,1,104914436,100046,13,0,5i5h,14,74
fixed,3,2,nodes,1,0,4,104083414,100034,10,7,5i5h,41,182
fixed,3,2,nodes,1,1,1,114335711,100009,12,0,2e2d,13,86
fixed,3,2,nodes,1,1,4,112641878,100044,10,0,2e2d,41,203
fixed,3,2,nodes,1,2,1,123478553,100034,14,790,8h2b+,15,124
fixed,3,2,nodes,1,2,4,119263662,100000,9,534,8h2b+,37,190
baseline,3,3,nodes,1,0,1,103640231,100046,13,0,5i5h,14,75
baseline,3,3,nodes,1,0,4,103525045,100034,10,7,5i5h,41,183
baseline,3,3,nodes,1,1,1,116040496,100009,12,0,2e2d,13,86
baseline,3,3,nodes,1,1,4,116508686,100044,10,0,2e2d,41,210
baseline,3,3,nodes,1,2,1,124061319,100034,14,790,8h2b+,15,125
baseline,3,3,nodes,1,2,4,118378440,100000,9,534,8h2b+,37,192
baseline,4,0,nodes,1,0,1,104134160,100046,13,0,5i5h,14,75
baseline,4,0,nodes,1,0,4,104819077,100034,10,7,5i5h,41,183
baseline,4,0,nodes,1,1,1,117111568,100009,12,0,2e2d,13,86
baseline,4,0,nodes,1,1,4,114394653,100044,10,0,2e2d,41,210
baseline,4,0,nodes,1,2,1,124306451,100034,14,790,8h2b+,15,125
baseline,4,0,nodes,1,2,4,120343243,100000,9,534,8h2b+,37,192
fixed,4,1,nodes,1,0,1,105352310,100046,13,0,5i5h,14,74
fixed,4,1,nodes,1,0,4,103502715,100034,10,7,5i5h,41,182
fixed,4,1,nodes,1,1,1,114114747,100009,12,0,2e2d,13,86
fixed,4,1,nodes,1,1,4,113850401,100044,10,0,2e2d,41,203
fixed,4,1,nodes,1,2,1,123868297,100034,14,790,8h2b+,15,124
fixed,4,1,nodes,1,2,4,120167443,100000,9,534,8h2b+,37,190
fixed,4,2,nodes,1,0,1,104111870,100046,13,0,5i5h,14,74
fixed,4,2,nodes,1,0,4,104808378,100034,10,7,5i5h,41,182
fixed,4,2,nodes,1,1,1,114773616,100009,12,0,2e2d,13,86
fixed,4,2,nodes,1,1,4,114678568,100044,10,0,2e2d,41,203
fixed,4,2,nodes,1,2,1,123372647,100034,14,790,8h2b+,15,124
fixed,4,2,nodes,1,2,4,119617911,100000,9,534,8h2b+,37,190
baseline,4,3,nodes,1,0,1,104841832,100046,13,0,5i5h,14,75
baseline,4,3,nodes,1,0,4,104196870,100034,10,7,5i5h,41,183
baseline,4,3,nodes,1,1,1,114461381,100009,12,0,2e2d,13,86
baseline,4,3,nodes,1,1,4,114718975,100044,10,0,2e2d,41,210
baseline,4,3,nodes,1,2,1,130092617,100034,14,790,8h2b+,15,125
baseline,4,3,nodes,1,2,4,126632454,100000,9,534,8h2b+,37,192
baseline,5,0,nodes,1,0,1,104031810,100046,13,0,5i5h,14,75
baseline,5,0,nodes,1,0,4,103705006,100034,10,7,5i5h,41,183
baseline,5,0,nodes,1,1,1,113827189,100009,12,0,2e2d,13,86
baseline,5,0,nodes,1,1,4,113558625,100044,10,0,2e2d,41,210
baseline,5,0,nodes,1,2,1,124619853,100034,14,790,8h2b+,15,125
baseline,5,0,nodes,1,2,4,125915268,100000,9,534,8h2b+,37,192
fixed,5,1,nodes,1,0,1,107817917,100046,13,0,5i5h,14,74
fixed,5,1,nodes,1,0,4,105171774,100034,10,7,5i5h,41,182
fixed,5,1,nodes,1,1,1,113740848,100009,12,0,2e2d,13,86
fixed,5,1,nodes,1,1,4,113541924,100044,10,0,2e2d,41,203
fixed,5,1,nodes,1,2,1,123090959,100034,14,790,8h2b+,15,124
fixed,5,1,nodes,1,2,4,119142268,100000,9,534,8h2b+,37,190
fixed,5,2,nodes,1,0,1,104637701,100046,13,0,5i5h,14,74
fixed,5,2,nodes,1,0,4,103978211,100034,10,7,5i5h,41,182
fixed,5,2,nodes,1,1,1,113960832,100009,12,0,2e2d,13,86
fixed,5,2,nodes,1,1,4,114904675,100044,10,0,2e2d,41,203
fixed,5,2,nodes,1,2,1,124148038,100034,14,790,8h2b+,15,124
fixed,5,2,nodes,1,2,4,119476187,100000,9,534,8h2b+,37,190
baseline,5,3,nodes,1,0,1,104522314,100046,13,0,5i5h,14,75
baseline,5,3,nodes,1,0,4,104511504,100034,10,7,5i5h,41,183
baseline,5,3,nodes,1,1,1,113578374,100009,12,0,2e2d,13,86
baseline,5,3,nodes,1,1,4,115233094,100044,10,0,2e2d,41,210
baseline,5,3,nodes,1,2,1,124167435,100034,14,790,8h2b+,15,125
baseline,5,3,nodes,1,2,4,121166505,100000,9,534,8h2b+,37,192
