variant,block,order,mode,threads,multipv,position,elapsed_ns,stop_lag_ns,nodes,depth,score,bestmove,callbacks,max_pv,last_pv,engine_time_ms
baseline,0,0,nodes,1,1,complex-middle,117537389,,100009,8,cp -17,B*6h,9,7,7,117
baseline,0,0,nodes,1,1,movegen-heavy,121731516,,100037,11,cp -1582,G*3c,12,10,7,121
baseline,0,0,nodes,1,1,selfplay-88,137237699,,100007,13,cp 3581,2h2g,14,13,13,137
baseline,0,0,nodes,1,8,complex-middle,94649619,,100009,7,cp -124,B*6h,57,7,7,94
baseline,0,0,nodes,1,8,movegen-heavy,93185502,,100021,8,cp -1183,S*2h,65,8,8,93
baseline,0,0,nodes,1,8,selfplay-88,129817369,,100036,10,cp 2995,2h2g,81,12,11,129
fixed,0,1,nodes,1,1,complex-middle,139317365,,100009,8,cp -17,B*6h,9,7,7,139
fixed,0,1,nodes,1,1,movegen-heavy,122107985,,100037,11,cp -1582,G*3c,12,10,7,122
fixed,0,1,nodes,1,1,selfplay-88,135458309,,100007,13,cp 3581,2h2g,14,11,11,135
fixed,0,1,nodes,1,8,complex-middle,95927494,,100009,7,cp -124,B*6h,57,7,7,95
fixed,0,1,nodes,1,8,movegen-heavy,95740241,,100021,8,cp -1183,S*2h,65,8,8,95
fixed,0,1,nodes,1,8,selfplay-88,115915025,,100036,10,cp 2995,2h2g,81,12,11,115
fixed,0,2,nodes,1,1,complex-middle,123516246,,100009,8,cp -17,B*6h,9,7,7,123
fixed,0,2,nodes,1,1,movegen-heavy,124356087,,100037,11,cp -1582,G*3c,12,10,7,124
fixed,0,2,nodes,1,1,selfplay-88,137398402,,100007,13,cp 3581,2h2g,14,11,11,137
fixed,0,2,nodes,1,8,complex-middle,98204511,,100009,7,cp -124,B*6h,57,7,7,98
fixed,0,2,nodes,1,8,movegen-heavy,93884087,,100021,8,cp -1183,S*2h,65,8,8,93
fixed,0,2,nodes,1,8,selfplay-88,115641901,,100036,10,cp 2995,2h2g,81,12,11,115
baseline,0,3,nodes,1,1,complex-middle,124887538,,100009,8,cp -17,B*6h,9,7,7,124
baseline,0,3,nodes,1,1,movegen-heavy,127633367,,100037,11,cp -1582,G*3c,12,10,7,127
baseline,0,3,nodes,1,1,selfplay-88,144034015,,100007,13,cp 3581,2h2g,14,13,13,143
baseline,0,3,nodes,1,8,complex-middle,95155290,,100009,7,cp -124,B*6h,57,7,7,95
baseline,0,3,nodes,1,8,movegen-heavy,96848919,,100021,8,cp -1183,S*2h,65,8,8,96
baseline,0,3,nodes,1,8,selfplay-88,121921263,,100036,10,cp 2995,2h2g,81,12,11,121
baseline,0,0,time,1,1,complex-middle,1000268461,,845873,13,cp -498,B*6h,14,18,14,1000
baseline,0,0,time,1,1,movegen-heavy,1000227825,,825175,16,cp -2522,G*1c,17,17,14,1000
baseline,0,0,time,1,1,selfplay-88,1000275084,,745887,17,cp 5317,2h2g,18,15,15,1000
baseline,0,0,time,1,8,complex-middle,1000207157,,903792,11,cp -73,B*6h,89,25,12,1000
baseline,0,0,time,1,8,movegen-heavy,1000253344,,933122,11,cp -2005,N*2c,89,20,9,1000
